Notikuma identifikators;TL kārtas numurs notikumā;TL veids;Marka;Modelis;Izlaiduma gads;Personas kārtas numurs notikumā;Statuss;Vecums (uz notikuma brīdi);Dzimums;Reibums;Miesas bojājumi
193381426;1;Vieglā;VOLVO;S60;2003;2;Vadītājs;40;V;Nē;viegli miesas bojājumi
193381426;2;Kravas;SCANIA;P 280;2019;1;Vadītājs;32;V;Nē;bez miesas bojājumiem
193381426;3;Vieglā;AUDI;A6 AVANT;1999;3;Vadītājs;47;S;Nē;viegli miesas bojājumi
193381454;1;Vieglā;OPEL;ZAFIRA;2002;3;;;;Nē;
193381454;;;;;;1;;;S;Nē;bez miesas bojājumiem
193381454;;;;;;2;;;S;Nē;bez miesas bojājumiem
193381461;1;Vieglā;BMW;X5 M50D;2014;1;Vadītājs;34;V;Nē;bez miesas bojājumiem
193381461;2;Velosipēds;;;;2;Velosipēda vadītājs;53;V;Nē;bez miesas bojājumiem
193381468;1;Kravas;SCANIA;;;2;Vadītājs;61;V;Nē;bez miesas bojājumiem
193381468;2;Piekabe;LOHR;;;3;;;;Nē;
193381468;3;Vieglā;ALFA ROMEO;156;2004;1;Vadītājs;23;V;Nē;bez miesas bojājumiem
193381475;1;Vieglā;HONDA;ACCORD;2011;1;Vadītājs;41;V;Nē;bez miesas bojājumiem
193381490;1;Vieglā;VOLVO;XC60;2011;2;Vadītājs;32;S;Nē;bez miesas bojājumiem
193381490;2;Vieglā;TOYOTA;PRIUS PLUS;2014;1;Vadītājs;46;V;Nē;bez miesas bojājumiem
193381725;1;Kravas;VW;CRAFTER;2013;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
193381751;1;Vieglā;VOLVO;V70;2002;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193381751;2;Vieglā;MERCEDES BENZ;S350;2011;1;Vadītājs;37;S;Nē;bez miesas bojājumiem
193381759;1;Vieglā;CITROEN;C4;2013;1;Vadītājs;43;S;Nē;bez miesas bojājumiem
193381759;2;Mopēds,motorollers;;;;2;Mopēdists;17;V;Nē;bez miesas bojājumiem
193381765;1;Vieglā;OPEL;ZAFIRA;2007;3;;;;Nē;
193381765;2;Vieglā;SUZUKI;GRAND VITARA;2007;3;;;;Nē;
193381765;;;;;;1;;;S;Nē;bez miesas bojājumiem
193381765;;;;;;2;;;S;Nē;bez miesas bojājumiem
193381769;1;Kravas;CITROEN;BERLINGO;2010;3;;;;Nē;
193381769;2;Vieglā;VOLVO;XC60;2010;3;;;;Nē;
193381769;;;;;;1;;;S;Nē;bez miesas bojājumiem
193381769;;;;;;2;;;S;Nē;bez miesas bojājumiem
193381814;;;;;;1;Citi;38;S;Nē;bez miesas bojājumiem
193381824;;;;;;1;Citi;65;S;Nē;bez miesas bojājumiem
193381834;1;Kravas;MERCEDES BENZ;1317;1996;3;;;;Nē;
193381834;2;Vieglā;ŠKODA;KODIAQ;2019;3;;;;Nē;
193381834;;;;;;2;;;V;Nē;bez miesas bojājumiem
193381834;;;;;;1;;;S;Nē;bez miesas bojājumiem
193381857;1;Velosipēds;;;;1;Velosipēda vadītājs;51;V;Nē;viegli miesas bojājumi
193381884;1;Motocikls;PIAGGIO;VESPA GTS300;2016;1;Vadītājs;46;V;Nē;bez miesas bojājumiem
193381884;2;Vieglā;OPEL;INSIGNIA;2009;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193381911;1;Vieglā;BMW;525;2003;1;Vadītājs;33;S;Nē;bez miesas bojājumiem
193381911;2;Vieglā;TOYOTA;LAND CRUISER;2003;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193381933;1;Nedefinēts;;;;2;Vadītājs;;;Nē;bez miesas bojājumiem
193381933;;;;;;1;Gājējs;57;S;Nē;smagi miesas bojājumi
193381936;1;Vieglā;AUDI;Q7;2007;1;Vadītājs;61;V;Nē;bez miesas bojājumiem
193381936;2;Vieglā;MERCEDES BENZ;A140;1999;2;Vadītājs;33;S;Nē;bez miesas bojājumiem
193381936;3;Vieglā;MERCEDES BENZ;E320;2004;3;Vadītājs;22;V;Nē;bez miesas bojājumiem
193381940;1;Vieglā;OPEL;VECTRA;2004;1;Vadītājs;51;S;Nē;bez miesas bojājumiem
193381940;2;Vieglā;BMW;X5;2007;2;Vadītājs;42;S;Nē;bez miesas bojājumiem
193381944;1;Vieglā;VW;PASSAT VARIANT;1998;3;;;;Nē;
193381944;2;Kravas;VOLVO;FH;2007;3;;;;Nē;
193381944;;;;;;1;;;V;Nē;bez miesas bojājumiem
193381944;;;;;;2;;;S;Nē;bez miesas bojājumiem
193381986;;;;;;1;Citi;38;V;Nē;bez miesas bojājumiem
193600048;1;Piekabe;THULE;18;2008;3;;;;Nē;
193600048;2;Vieglā;ŠKODA;SCALA;2020;2;Vadītājs;32;V;Nē;bez miesas bojājumiem
193600048;3;Vieglā;MITSUBISHI;PAJERO SPORT;2004;1;Vadītājs;38;V;Nē;bez miesas bojājumiem
193600059;1;Vieglā;TOYOTA;COROLLA VERSO;2007;3;Vadītājs;63;S;Nē;bez miesas bojājumiem
193600059;1;Vieglā;TOYOTA;COROLLA VERSO;2007;2;Pasažieris;40;V;Nē;viegli miesas bojājumi
193600059;2;Vieglā;BMW;X5;2008;1;Vadītājs;60;V;Nē;viegli miesas bojājumi
193600080;1;Vieglā;BMW;330;2004;1;Vadītājs;32;S;Nē;bez miesas bojājumiem
193600089;1;Vieglā;AUDI;A4;1998;1;Vadītājs;22;S;Nē;bez miesas bojājumiem
193600118;1;Vieglā;VW;PASSAT VARIANT;1995;2;Vadītājs;19;V;Nē;bez miesas bojājumiem
193600118;1;Vieglā;VW;PASSAT VARIANT;1995;1;Pasažieris;19;V;Nē;viegli miesas bojājumi
193600479;1;Vieglā;ŠKODA;SUPERB;2004;1;Vadītājs;40;S;Nē;bez miesas bojājumiem
193600499;1;Autobuss;MERCEDES BENZ;0350;2006;1;Vadītājs;63;V;Nē;bez miesas bojājumiem
193600535;1;Mopēds,motorollers;;;;1;Mopēdists;28;V;Nē;viegli miesas bojājumi
193600536;1;Kravas;MERCEDES BENZ;X-KLASSE;2019;1;Vadītājs;30;V;Nē;bez miesas bojājumiem
193600841;1;Vieglā;AUDI;A4;2001;3;;;;Nē;
193600841;2;Vieglā;MERCEDES BENZ;E200 CDI;2014;3;;;;Nē;
193600841;;;;;;1;;;V;Nē;bez miesas bojājumiem
193600841;;;;;;2;;;S;Nē;bez miesas bojājumiem
193600842;;;;;;1;Īpašnieks;43;V;Nē;bez miesas bojājumiem
193600848;1;Vieglā;NISSAN;QASHQAI;2008;1;Vadītājs;;V;Nē;bez miesas bojājumiem
193600849;1;Kravas;RENAULT;MASTER;2014;2;;;;Nē;
193600849;2;Kravas;TOYOTA;HILUX;2013;2;;;;Nē;
193600849;;;;;;1;;;V;Nē;bez miesas bojājumiem
193600883;1;Kravas;MERCEDES BENZ;917;1996;1;Vadītājs;54;V;Nē;bez miesas bojājumiem
193600883;2;Vieglā;VOLVO;V70;2010;2;Vadītājs;42;V;Nē;bez miesas bojājumiem
193600925;1;Vieglā;TOYOTA;AVENSIS;2005;1;Vadītājs;40;S;Nē;bez miesas bojājumiem
193600925;2;Vieglā;FORD;FOCUS C-MAX;2007;2;Vadītājs;63;V;Nē;viegli miesas bojājumi
193600926;1;Vieglā;AUDI;A6;2006;1;Vadītājs;29;S;Nē;bez miesas bojājumiem
193600926;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193600941;1;Vieglā;AUDI;A2;2000;3;;;;Nē;
193600941;2;Vieglā;OPEL;ZAFIRA;2003;3;;;;Nē;
193600941;;;;;;1;;;S;Nē;bez miesas bojājumiem
193600941;;;;;;2;;;V;Nē;bez miesas bojājumiem
193600945;1;Kravas;VOLVO;;2016;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
193600945;2;Piekabe;SCHMITZ;;2010;2;;;;Nē;
193600953;1;Trolejbuss;;;;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
193600956;1;Vieglā;VOLVO;V70;2006;3;Vadītājs;26;V;Nē;bez miesas bojājumiem
193600956;2;Vieglā;AUDI;Q7;2007;1;Pasažieris;31;S;Nē;viegli miesas bojājumi
193600956;2;Vieglā;AUDI;Q7;2007;2;Vadītājs;34;S;Nē;bez miesas bojājumiem
193600960;1;Vieglā;FORD;FOCUS;2008;3;Vadītājs;72;V;Nē;bez miesas bojājumiem
193600960;2;Vieglā;VW;GOLF;2009;2;Vadītājs;33;V;Nē;bez miesas bojājumiem
193600960;3;Vieglā;VW;TOURAN;2005;1;Vadītājs;45;S;Nē;bez miesas bojājumiem
193601238;1;Vieglā;VW;PASSAT VARIANT;2000;2;Pasažieris;71;S;Nē;viegli miesas bojājumi
193601238;1;Vieglā;VW;PASSAT VARIANT;2000;1;Vadītājs;66;S;Nē;viegli miesas bojājumi
193601458;1;Vieglā;VW;SHARAN;2005;1;Vadītājs;52;V;Nē;bez miesas bojājumiem
193601458;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193601511;1;Vieglā;FORD;FOCUS;2005;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
193601529;1;Vieglā;CHRYSLER;300C;2006;2;Vadītājs;23;V;Nē;bez miesas bojājumiem
193601529;2;Vieglā;FORD;FOCUS;2008;1;Vadītājs;68;V;Nē;bez miesas bojājumiem
193601571;1;Vieglā;VW;GOLF;2002;1;Vadītājs;44;S;Nē;viegli miesas bojājumi
193601571;2;Kravas;MERCEDES BENZ;ATEGO 818;2003;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
193601576;1;Vieglā;PEUGEOT;5008;2017;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
193601803;1;Vieglā;HONDA;FR-V;2008;2;Vadītājs;34;V;Nē;bez miesas bojājumiem
193601803;2;Vieglā;JEEP;GRAND CHEROKEE;2002;1;Vadītājs;45;V;Nē;bez miesas bojājumiem
193601804;1;Vieglā;ŠKODA;OCTAVIA;2005;3;;;;Nē;
193601804;2;Vieglā;MITSUBISHI;OUTLANDER;2007;3;;;;Nē;
193601804;;;;;;1;;;V;Nē;bez miesas bojājumiem
193601804;;;;;;2;;;V;Nē;bez miesas bojājumiem
193601816;1;Vieglā;LEXUS;RX 450H;2014;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
193601816;2;Vieglā;MERCEDES BENZ;A150;2005;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193601823;1;Vieglā;VOLVO;V40;2004;1;Vadītājs;26;V;Nē;bez miesas bojājumiem
193601841;1;Vieglā;FORD;MONDEO;2017;1;Vadītājs;45;V;Nē;bez miesas bojājumiem
193601863;1;Velosipēds;;;;1;Velosipēda vadītājs;48;V;Nē;bez miesas bojājumiem
193601888;1;Velosipēds;;;;1;Velosipēda vadītājs;34;V;Nē;viegli miesas bojājumi
193601888;2;Velosipēds;;;;2;Velosipēda vadītājs;50;V;Nē;viegli miesas bojājumi
193601900;1;Vieglā;BMW;X3;2012;1;Vadītājs;34;S;Nē;bez miesas bojājumiem
193601900;2;Vieglā;VW;TIGUAN;2018;2;Vadītājs;37;S;Nē;bez miesas bojājumiem
193601902;1;Vieglā;VOLVO;V70;2006;1;Vadītājs;60;V;Nē;viegli miesas bojājumi
193601902;2;Kravas;SCANIA;P 230;2006;2;Vadītājs;50;V;Nē;bez miesas bojājumiem
193602107;1;Vieglā;RENAULT;TRAFIC;2003;1;Vadītājs;46;V;Nē;bez miesas bojājumiem
193602107;2;Vieglā;VW;GOLF VARIANT;2000;2;Vadītājs;33;V;Nē;bez miesas bojājumiem
193602116;1;Vieglā;BMW;318;2004;3;;;;Nē;
193602116;2;Vieglā;VOLVO;XC60;2013;3;;;;Nē;
193602116;;;;;;1;;;S;Nē;bez miesas bojājumiem
193602116;;;;;;2;;;S;Nē;bez miesas bojājumiem
193602121;1;Vieglā;VW;GOLF;1999;1;Vadītājs;22;V;Nē;bez miesas bojājumiem
193602121;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193602133;1;Vieglā;MITSUBISHI;COLT;2006;2;Vadītājs;26;V;Nē;bez miesas bojājumiem
193602133;2;Vieglā;BMW;X5;2008;1;Vadītājs;41;S;Nē;bez miesas bojājumiem
193602149;1;Kravas;SCANIA;P114;2003;1;Vadītājs;54;V;Nē;bez miesas bojājumiem
193602151;1;Vieglā;MAZDA;3;2005;1;Vadītājs;22;V;Nē;viegli miesas bojājumi
193602158;1;Vieglā;HYUNDAI;GETZ;2007;2;Vadītājs;90;V;Nē;bez miesas bojājumiem
193602158;2;Vieglā;BMW;330;2001;3;Vadītājs;18;V;Nē;bez miesas bojājumiem
193602158;3;Vieglā;VW;JETTA;2006;1;Vadītājs;51;S;Nē;bez miesas bojājumiem
193602161;1;Vieglā;VW;GOLF;2018;1;Vadītājs;32;V;Nē;bez miesas bojājumiem
193602161;2;Kravas;MERCEDES BENZ;SPRINTER;2017;2;Vadītājs;33;V;Nē;bez miesas bojājumiem
193602174;1;Vieglā;VOLVO;V50;2005;1;Vadītājs;59;S;Nē;bez miesas bojājumiem
193602174;2;Vieglā;VOLVO;S80;2005;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
193602354;1;Vieglā;VOLVO;C30;2010;2;Vadītājs;55;S;Nē;bez miesas bojājumiem
193602354;2;Vieglā;ŠKODA;RAPID;2015;1;Vadītājs;31;V;Nē;bez miesas bojājumiem
193602354;3;Vieglā;VW;TIGUAN;2019;3;Vadītājs;31;S;Nē;bez miesas bojājumiem
193602358;1;Vieglā;VOLVO;V70;1999;3;;;;Nē;
193602358;2;Vieglā;VOLVO;XC90;2005;3;;;;Nē;
193602358;;;;;;2;;;V;Nē;bez miesas bojājumiem
193602358;;;;;;1;;;S;Nē;bez miesas bojājumiem
193602363;1;Vieglā;VW;CARAVELLE;1992;2;Vadītājs;55;V;Nē;bez miesas bojājumiem
193602363;2;Vieglā;MITSUBISHI;PAJERO;2005;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
193602371;1;Vieglā;BMW;X3;2007;1;Vadītājs;32;V;Nē;bez miesas bojājumiem
193602371;2;Kravas;VW;CRAFTER;2020;2;Vadītājs;30;V;Nē;bez miesas bojājumiem
193602397;1;Vieglā;MERCEDES BENZ;C220;2002;1;Vadītājs;28;S;Nē;bez miesas bojājumiem
193602412;1;Vieglā;VOLVO;XC70;2009;3;;;;Nē;
193602412;;;;;;2;;;V;Nē;bez miesas bojājumiem
193602412;;;;;;1;;;V;Nē;bez miesas bojājumiem
193602476;1;Vieglā;FIAT;STILO;2003;3;Vadītājs;48;S;Nē;bez miesas bojājumiem
193602476;2;Vieglā;VW;GOLF;2014;2;Vadītājs;49;S;Nē;bez miesas bojājumiem
193602476;3;Vieglā;VOLVO;XC60;2011;1;Vadītājs;37;V;Nē;bez miesas bojājumiem
193602610;1;Vieglā;VOLVO;XC90;2006;1;Vadītājs;44;V;Nē;bez miesas bojājumiem
193602610;2;Vieglā;JEEP;COMPASS;2019;2;Vadītājs;43;V;Nē;bez miesas bojājumiem
193602610;3;Piekabe;ABI;JUBILEE;1990;3;;;;Nē;
193602622;1;Vieglā;BMW;320;2000;1;Vadītājs;32;S;Nē;bez miesas bojājumiem
193602622;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193602814;1;Vieglā;CHEVROLET;EPICA;2007;3;;;;Nē;
193602814;2;Vieglā;HYUNDAI;ELANTRA;2006;3;;;;Nē;
193602814;;;;;;2;;;V;Nē;bez miesas bojājumiem
193602814;;;;;;1;;;V;Nē;bez miesas bojājumiem
193602869;1;Vieglā;VW;PASSAT;2010;2;Vadītājs;24;V;Nē;bez miesas bojājumiem
193602869;2;Vieglā;NISSAN;X TRAIL;2005;1;Vadītājs;33;S;Nē;bez miesas bojājumiem
193602888;1;Vieglā;SAAB;9-3;2009;1;Vadītājs;29;V;Nē;bez miesas bojājumiem
193602911;1;Vieglā;VW;GOLF;1994;1;Vadītājs;26;V;Nē;bez miesas bojājumiem
193602923;1;Vieglā;KIA;SPORTAGE;2019;1;Vadītājs;62;V;Nē;bez miesas bojājumiem
193602923;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193602930;1;Vieglā;VOLVO;C30;2008;1;Vadītājs;32;S;Nē;bez miesas bojājumiem
193602930;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193602950;1;Vieglā;AUDI;A4;1998;3;;;;Nē;
193602950;2;Motocikls;HARLEY DAVIDSON;FXDL 103 LOW RIDER;2016;3;;;;Nē;
193602950;;;;;;1;;;V;Nē;bez miesas bojājumiem
193602950;;;;;;2;;;V;Nē;bez miesas bojājumiem
193602966;1;Vieglā;JEEP;GRAND CHEROKEE;2004;2;Vadītājs;56;V;Nē;bez miesas bojājumiem
193602966;;;;;;1;Gājējs;36;V;Jā;viegli miesas bojājumi
193602984;1;Kravas;VW;CRAFTER;2012;1;Vadītājs;19;V;Nē;bez miesas bojājumiem
193602984;;;;;;2;Gājējs;88;S;Nē;viegli miesas bojājumi
193602994;1;Vieglā;AUDI;A6 AVANT;1997;3;;;;Nē;
193602994;2;Kravas;MITSUBISHI;L200;2017;3;;;;Nē;
193602994;;;;;;1;;;V;Nē;bez miesas bojājumiem
193602994;;;;;;2;;;V;Nē;bez miesas bojājumiem
193603013;1;Kravas;VW;TRANSPORTER;2012;3;;;;Nē;
193603013;;;;;;1;;;V;Nē;bez miesas bojājumiem
193603013;;;;;;2;;;V;Nē;bez miesas bojājumiem
193603020;1;Vieglā;RENAULT;MEGANE SCENIC;2002;1;Vadītājs;64;V;Jā;bez miesas bojājumiem
193603072;1;Vieglā;VW;SHARAN;2002;3;;;;Nē;
193603072;2;Vieglā;VW;GOLF;2003;3;;;;Nē;
193603072;;;;;;2;;;S;Nē;bez miesas bojājumiem
193603072;;;;;;1;;;V;Nē;bez miesas bojājumiem
193603076;1;Vieglā;NISSAN;PULSAR;2016;3;;;;Nē;
193603076;2;Vieglā;VW;GOLF;1998;3;;;;Nē;
193603076;;;;;;1;;;V;Nē;bez miesas bojājumiem
193603076;;;;;;2;;;V;Nē;bez miesas bojājumiem
193603095;1;Vieglā;ŠKODA;YETI;2012;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193603095;2;Trolejbuss;;;;1;Vadītājs;41;S;Nē;bez miesas bojājumiem
193603130;1;Vieglā;RENAULT;TRAFIC;2020;1;Vadītājs;68;V;Nē;bez miesas bojājumiem
193822814;1;Vieglā;BMW;730;2004;1;Vadītājs;35;S;Nē;bez miesas bojājumiem
193822830;1;Nedefinēts;;;;1;Vadītājs;;;Nē;bez miesas bojājumiem
193823127;1;Kravas;IVECO;DAILY;2014;1;Vadītājs;61;V;Nē;bez miesas bojājumiem
193823130;1;Vieglā;CHRYSLER;VOYAGER;2004;1;Vadītājs;32;V;Nē;bez miesas bojājumiem
193823130;2;Vieglā;HYUNDAI;SANTA FE;2004;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193823140;1;Vieglā;AUDI;A4;1998;2;Vadītājs;19;V;Nē;bez miesas bojājumiem
193823140;2;Vieglā;BMW;318;2000;1;Vadītājs;20;V;Nē;bez miesas bojājumiem
193823151;1;Vieglā;LAND ROVER;DISCOVERY SPORT;2016;1;Vadītājs;48;V;Nē;bez miesas bojājumiem
193823151;2;Vieglā;MERCEDES BENZ;GLE 450 4MATIC;;2;Vadītājs;25;V;Nē;bez miesas bojājumiem
193823151;3;Vieglā;MAZDA;3;2005;3;Vadītājs;27;V;Nē;bez miesas bojājumiem
193823157;1;Vieglā;BMW;530;2008;3;Vadītājs;42;V;Nē;bez miesas bojājumiem
193823157;2;Vieglā;PEUGEOT;508;2014;1;Vadītājs;65;V;Nē;bez miesas bojājumiem
193823157;3;Vieglā;TOYOTA;COROLLA VERSO;2006;2;Vadītājs;40;V;Nē;bez miesas bojājumiem
193823167;1;Vieglā;VW;GOLF;1994;3;;;;Nē;
193823167;2;Vieglā;VW;GOLF;2020;3;;;;Nē;
193823167;;;;;;1;;;V;Nē;bez miesas bojājumiem
193823167;;;;;;2;;;V;Nē;bez miesas bojājumiem
193823176;1;Vieglā;BMW;118;2007;3;Vadītājs;23;S;Nē;bez miesas bojājumiem
193823176;2;Vieglā;VOLVO;XC90;2006;1;Vadītājs;61;V;Nē;bez miesas bojājumiem
193823176;;;;;;2;Citi;30;S;Nē;bez miesas bojājumiem
193823209;1;Vieglā;VW;PASSAT;2014;2;Vadītājs;34;V;Nē;bez miesas bojājumiem
193823209;2;Autobuss;MERCEDES BENZ;0530G;2004;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
193823232;1;Vieglā;VW;PASSAT CC;2011;2;Vadītājs;30;V;Nē;bez miesas bojājumiem
193823232;2;Pārvietošanās līdzeklis ar elektromotoru;;;;1;Citi;29;V;Nē;viegli miesas bojājumi
193823251;1;Vieglā;ŠKODA;FABIA;2007;3;Citi;19;S;Nē;viegli miesas bojājumi
193823251;1;Vieglā;ŠKODA;FABIA;2007;1;Vadītājs;49;V;Nē;bez miesas bojājumiem
193823251;2;Vieglā;MITSUBISHI;COLT;2005;2;Vadītājs;44;S;Nē;bez miesas bojājumiem
193823254;1;Vieglā;FORD;S-MAX;2011;2;Vadītājs;45;S;Nē;viegli miesas bojājumi
193823254;2;Vieglā;AUDI;A4 AVANT;1998;1;Vadītājs;37;V;Nē;viegli miesas bojājumi
193823256;1;Kravas;RENAULT;MASCOTT;2006;1;Vadītājs;44;V;Nē;bez miesas bojājumiem
193823561;1;Vieglā;LEXUS;GS 450H;2013;1;Vadītājs;37;V;Nē;bez miesas bojājumiem
193823561;2;Nedefinēts;;;;2;Citi;13;V;Nē;viegli miesas bojājumi
193823583;1;Vieglā;AUDI;A5;2011;2;Vadītājs;56;V;Nē;bez miesas bojājumiem
193823583;2;Vieglā;BMW;318D;2015;1;Vadītājs;83;V;Nē;bez miesas bojājumiem
193823612;1;Vieglā;AUDI;A6;2005;1;Vadītājs;37;S;Nē;bez miesas bojājumiem
193823612;2;Vieglā;AUDI;A3;2009;3;Vadītājs;20;S;Nē;bez miesas bojājumiem
193823612;3;Vieglā;HYUNDAI;I30;2019;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
193823641;1;Vieglā;MERCEDES BENZ;VITO 111;2008;2;Vadītājs;31;V;Nē;bez miesas bojājumiem
193823641;2;Vieglā;BMW;320;2006;1;Vadītājs;33;S;Nē;bez miesas bojājumiem
193823668;1;Vieglā;SUBARU;LEGACY;2011;1;Vadītājs;39;V;Nē;bez miesas bojājumiem
193823668;2;Kravas;RENAULT;MASTER;2019;2;Vadītājs;31;V;Nē;bez miesas bojājumiem
193823668;3;Vieglā;LEXUS;RX 450H;2010;3;Vadītājs;53;V;Nē;bez miesas bojājumiem
193823671;1;Vieglā;AUDI;A4 AVANT;1996;2;Vadītājs;28;V;Jā;bez miesas bojājumiem
193823671;2;Vieglā;MERCEDES BENZ;CL 500;2000;1;Vadītājs;31;V;Nē;viegli miesas bojājumi
193824241;1;Puspiekabe;LAMBERET;LVFS3E1R;1999;3;;;;Nē;
193824241;2;Kravas;VOLVO;FH12;2005;3;;;;Nē;
193824241;;;;;;1;;;V;Nē;bez miesas bojājumiem
193824241;;;;;;2;;;V;Nē;bez miesas bojājumiem
193824250;1;Vieglā;MERCEDES BENZ;C180;1997;1;Vadītājs;45;V;Nē;bez miesas bojājumiem
193824250;2;Vieglā;MERCEDES BENZ;E220;2003;2;Vadītājs;25;V;Nē;bez miesas bojājumiem
193824251;1;Kravas;SCANIA;P114;1999;3;;;;Nē;
193824251;2;Vieglā;VW;PASSAT;2012;3;;;;Nē;
193824251;;;;;;2;;;V;Nē;bez miesas bojājumiem
193824251;;;;;;1;;;V;Nē;bez miesas bojājumiem
193824265;1;Velosipēds;;;;1;Velosipēda vadītājs;39;V;Jā;viegli miesas bojājumi
193824284;1;Vieglā;VOLVO;V70;2007;2;Vadītājs;64;V;Nē;bez miesas bojājumiem
193824284;2;Kravas;OPEL;MOVANO;2015;1;Vadītājs;66;V;Nē;bez miesas bojājumiem
193824292;1;Kravas;SCANIA;R 450;2019;1;Vadītājs;48;V;Nē;viegli miesas bojājumi
193824292;2;Piekabe;JYKI;V31;2019;2;;;;Nē;
193824498;1;Vieglā;CHEVROLET;AVEO;2005;3;;;;Nē;
193824498;;;;;;1;;;V;Nē;bez miesas bojājumiem
193824498;;;;;;2;;;S;Nē;bez miesas bojājumiem
193824503;1;Vieglā;CITROEN;C4;2007;1;Vadītājs;52;V;Nē;bez miesas bojājumiem
193824503;2;Traktortehnika;;;;2;Vadītājs;62;V;Nē;bez miesas bojājumiem
193824525;1;Kravas;TOYOTA;HILUX;2019;3;;;;Nē;
193824525;2;Vieglā;VOLVO;S60;2001;3;;;;Nē;
193824525;;;;;;1;;;V;Nē;bez miesas bojājumiem
193824525;;;;;;2;;;S;Nē;bez miesas bojājumiem
193824529;1;Vieglā;VW;CADDY;2012;3;;;;Nē;
193824529;2;Vieglā;VW;GOLF;2014;3;;;;Nē;
193824529;;;;;;1;;;V;Nē;bez miesas bojājumiem
193824529;;;;;;2;;;S;Nē;bez miesas bojājumiem
193824535;1;Vieglā;NISSAN;QASHQAI;2019;1;Vadītājs;76;V;Nē;bez miesas bojājumiem
193824535;2;Velosipēds;;;;2;Velosipēda vadītājs;28;S;Nē;viegli miesas bojājumi
193824539;1;Vieglā;VOLVO;S40;2003;1;Vadītājs;;V;Nē;bez miesas bojājumiem
193824546;1;Vieglā;AUDI;100;1992;1;Vadītājs;59;V;Jā;bez miesas bojājumiem
193824596;1;Vieglā;VW;PASSAT VARIANT;1998;1;Vadītājs;19;V;Jā;bez miesas bojājumiem
193824651;1;Vieglā;AUDI;A1 SPORTBACK;2014;2;Vadītājs;27;V;Nē;bez miesas bojājumiem
193824651;2;Vieglā;OPEL;MERIVA;2006;1;Vadītājs;74;V;Nē;bez miesas bojājumiem
193824661;1;Vieglā;VOLVO;XC70;2006;3;;;;Nē;
193824661;2;Vieglā;SEAT;ATECA;2019;3;;;;Nē;
193824661;;;;;;2;;;S;Nē;bez miesas bojājumiem
193824661;;;;;;1;;;V;Nē;bez miesas bojājumiem
193824665;1;Vieglā;AUDI;A6 AVANT;1999;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
193824688;1;Vieglā;VW;CARAVELLE;1996;3;;;;Nē;
193824688;2;Vieglā;AUDI;A4;2006;3;;;;Nē;
193824688;;;;;;1;;;V;Nē;bez miesas bojājumiem
193824688;;;;;;2;;;S;Nē;bez miesas bojājumiem
193824726;1;Vieglā;VW;PASSAT;2006;2;;;;Nē;
193824726;2;Vieglā;AUDI;A6;2009;2;;;;Nē;
193824726;;;;;;1;;;S;Nē;bez miesas bojājumiem
193824727;1;Vieglā;NISSAN;X TRAIL;2007;2;Vadītājs;32;V;Nē;bez miesas bojājumiem
193824727;;;;;;1;Iesniedzējs;42;V;Nē;bez miesas bojājumiem
193824881;1;Vieglā;AUDI;A3;2006;1;Vadītājs;31;S;Nē;bez miesas bojājumiem
193824933;1;Vieglā;TOYOTA;RAV4;2016;1;Vadītājs;50;S;Nē;bez miesas bojājumiem
193824974;1;Vieglā;AUDI;A6;1995;3;;;;Nē;
193824974;2;Vieglā;PEUGEOT;407;2005;3;;;;Nē;
193824974;;;;;;1;;;V;Nē;bez miesas bojājumiem
193824974;;;;;;2;;;S;Nē;bez miesas bojājumiem
193824997;1;Vieglā;VW;SHARAN;2014;1;Vadītājs;44;V;Nē;bez miesas bojājumiem
193825002;1;Vieglā;HONDA;HRV;2018;2;Vadītājs;;V;Nē;bez miesas bojājumiem
193825002;2;Vieglā;VW;GOLF;2020;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
